Sides,a,a_error,b,b_error,c,c_error,R2
29,25.147141066793015,0.001529517599789241,-93.74281406549827,1.9663548611106418,-0.9592930440949536,0.004550267043328567,0.9999960183773424
30,25.143534088756187,0.0010497800382221762,-97.23145783533668,1.4337431828715685,-0.9682605141409452,0.0031950493973303268,0.9999980551118247
31,25.143248255400586,0.0003563083869024031,-97.50000453333224,0.48608792383391536,-0.9680946328773588,0.0010802701414628644,0.9999997776307366
32,25.154297772504236,0.006071760261669767,-71.61046023783773,5.434140490923925,-0.9061312740275521,0.016586642448576407,0.9999441467469683
33,25.14157756590792,0.0022137381529829555,-94.73064984264344,2.9447873965160665,-0.9643494770007013,0.00673895541991655,0.9999913125977355
34,25.145792449574078,0.002215440504404029,-84.15552424210433,2.5121994147307207,-0.9407631336561855,0.006491813960701339,0.9999917391133749
35,25.137825296819873,0.0014571692831813151,-105.18500339441478,2.2058261494353744,-0.983574431487294,0.00453534120916267,0.999996143617989
36,25.138467311238475,0.0021530163495940445,-89.84510632612232,2.779873631400083,-0.9599309165932913,0.006711314347904924,0.9999913439293128
37,25.13816216698511,0.003281345901438422,-97.42929375020695,4.558834407300957,-0.9708012890557836,0.01013534388875844,0.999980481015531
38,25.134353574837316,0.0033510920401646498,-107.21445609183827,5.305023528554792,-0.9902586906800629,0.010692553655155099,0.9999787160591875
39,25.1366232325759,0.002853173337242264,-99.38863846928237,4.080566624546779,-0.9751116428492924,0.00888841785532386,0.9999850558889479
40,25.139126969618015,0.0004033947633607537,-96.1079255576233,0.538185865075983,-0.9647851941841141,0.001213886724042079,0.9999997182477423
41,25.13991353008868,0.0007318652056750184,-91.48361083177139,0.9312290004968296,-0.95776559475993,0.0022085782633174747,0.9999990604731992
42,25.13643152522211,0.0014245947753613074,-97.24261662875347,1.9931244199380673,-0.9718419380812439,0.004439103149873278,0.999996259719783
43,25.136869904904824,0.0008809780405003685,-95.79103990107652,1.207079407881268,-0.9687379806885745,0.0027302206364754186,0.9999985805533836
44,25.14419306359479,0.005168967763978444,-75.3106861117345,5.248260348152737,-0.9245448594780782,0.015189936188095662,0.999954018954046
45,25.135917577740393,0.0007692681325138053,-100.74448779652194,1.1103594245385737,-0.9764803402793049,0.0023856668838342547,0.9999989249605499
46,25.134402635302198,0.002937995274959675,-101.08215244412243,4.3076864434194,-0.9788142140455661,0.009221734299123365,0.9999839764469066
47,25.13141722934234,0.004753442892462282,-107.47266000611789,7.592341961997395,-0.9915894021081973,0.015263597692030327,0.9999566906592225
48,25.13302340043442,0.003986308861942037,-102.66241246420674,5.965823568237818,-0.9818707458544194,0.012570160035030647,0.9999703235716038
49,25.137629779988625,9.487221488977046e-05,-92.62381844725812,0.12363298208573167,-0.9613010866865871,0.00028947520261029516,0.9999999839191608
50,25.132421424893625,0.003014564536697559,-103.92882398625295,4.6084956127011285,-0.9850427111947279,0.009588242678709339,0.9999827907143395
