Sides,Resolution,Filename,Area,Unknowns,Q1,C_shape,Build Time (s),Solve Time (s),Residual,NNZ
35,128,128.png,5014.0,5014,1036807.1921894492,24.247706024213507,0.05604995700196014,0.014701508000143804,1.4562424257208776e-13,24750
30,256,256.png,19824.0,19824,15916290.85653321,24.691115508151682,0.21332919699852937,0.08859297799790511,5.777558574562371e-13,98484
30,1024,1024.png,315454.0,315454,3976388563.7688713,25.025528697749298,3.3914474670018535,4.766830624001159,9.07523125054106e-12,1574734
30,512,512.png,79156.0,79156,251519114.66700867,24.911316757357596,0.8432413109985646,0.6446646579970547,2.276535275257807e-12,394512
30,2048,2048.png,1260564.0,1260564,63350304051.53058,25.08309347344969,13.443385393002245,42.403408304999175,3.6584667196822583e-11,6297748
30,128,128.png,5004.0,5004,1032265.424070798,24.257342555612546,0.05681548699794803,0.014477598000667058,1.4095154370524857e-13,24700
27,256,256.png,19800.0,19800,15877869.686187271,24.690969742688445,0.22112574900165782,0.08815232500273851,5.514904512229893e-13,98362
27,1024,1024.png,315229.0,315229,3970228867.0929346,25.02861315240998,3.4080098459999135,5.006809590002376,9.109223443019554e-12,1573605
27,512,512.png,78901.0,78901,249872741.0786817,24.91415339714752,0.8412916570014204,0.598530203998962,2.254710260799012e-12,393235
27,2048,2048.png,1259893.0,1259893,63275186117.70685,25.086143065564265,13.42425202099912,41.54704074899928,3.680536278039245e-11,6294389
27,128,128.png,4985.0,4985,1024679.122549132,24.25171397869333,0.0772726609975507,0.013572972999099875,1.3871381007105156e-13,24605
11,256,256.png,19837.0,19837,15848614.299970273,24.829083574879988,0.21209550500134355,0.09188443799939705,5.540712721635098e-13,98539
11,1024,1024.png,314968.0,314968,3940779459.965595,25.173913443221743,3.3758886309988156,4.981773997998971,9.070048216165862e-12,1572274
11,512,512.png,78771.0,78771,247633454.33965182,25.056672805159256,0.8362393989991688,0.6033049469988327,2.23519368342973e-12,392571
11,2048,2048.png,1259460.0,1259460,62863841836.08794,25.232939083423872,13.616725845000474,41.053505838001,3.62547556308675e-11,6292172
11,128,128.png,4992.0,4992,1021325.7491258952,24.399721657196945,0.05900143300095806,0.015215225001156796,1.4186124953098024e-13,24634
24,256,256.png,19828.0,19828,15929674.164366491,24.68032804333479,0.22332947199902264,0.08829865400184644,5.538020076542423e-13,98508
24,1024,1024.png,315376.0,315376,3973728802.317174,25.029896684947744,3.406637348998629,4.641595838002104,8.99305421522045e-12,1574352
24,512,512.png,78968.0,78968,250320492.64341724,24.91184384525455,0.8304765540015069,0.5753724530004547,2.231694704793904e-12,393576
24,2048,2048.png,1260368.0,1260368,63314716699.02438,25.089388032411076,13.431684219998715,38.89445631499984,3.617334174989715e-11,6296784
24,128,128.png,5012.0,5012,1036141.1477274112,24.24394017658357,0.052806324998528,0.013691257001482882,1.4235219969221856e-13,24740
9,256,256.png,19918.0,19918,15902023.517349973,24.948191251707655,0.23301833900040947,0.07921936899947468,5.629507430885467e-13,98940
9,1024,1024.png,314685.0,314685,3914284793.4028144,25.298784950931722,3.411636762000853,4.3898295069993765,8.972609331845177e-12,1570845
9,512,512.png,78829.0,78829,246781432.8538918,25.180221903805208,0.8315129719994729,0.5079048150000744,2.213929040688712e-12,392853
9,2048,2048.png,1259515.0,1259515,62557245196.83328,25.358821831644597,13.425155430999439,33.836468675002834,3.584452695946809e-11,6292415
9,128,128.png,4990.0,4990,1016365.4588876399,24.499160004170044,0.05670658799863304,0.014227298001060262,1.4196498053115567e-13,24624
45,256,256.png,19837.0,19837,15939200.025218833,24.687974827933527,0.21968957900025998,0.08797826299996814,5.671840371316966e-13,98545
45,1024,1024.png,315042.0,315042,3966904825.765206,25.019874719291924,3.377940844002296,4.534593207001308,9.03938332904338e-12,1572674
45,512,512.png,78942.0,78942,250197590.01139033,24.907671427675595,0.8381436810013838,0.58908667599826,2.2557235889171022e-12,393438
45,2048,2048.png,1259382.0,1259382,63245976373.17077,25.07737429122537,13.433598461997462,42.25058275600168,3.6597242117833086e-11,6291840
45,128,128.png,5012.0,5012,1035728.1564009251,24.253607324233172,0.08123316599812824,0.014487732001725817,1.4082377451358078e-13,24740
13,256,256.png,19877.0,19877,15949330.55627038,24.771894193682684,0.215950760000851,0.08570924000014202,5.723220447273609e-13,98741
13,1024,1024.png,315069.0,315069,3952813427.6577616,25.113372178514762,3.4260795160007547,4.689324148002925,9.189495261711876e-12,1572787
13,512,512.png,78780.0,78780,248270380.46159232,24.998102425513135,0.8333073840003635,0.6311889509997854,2.2655786516993676e-12,392618
13,2048,2048.png,1259447.0,1259447,63015060073.07393,25.171867549909383,13.51676052199764,41.76250277299914,3.7079894156744606e-11,6292125
13,128,128.png,5019.0,5019,1034597.8632360909,24.347973154717085,0.05627772599837044,0.013983057000586996,1.4417375230548717e-13,24769
33,256,256.png,19779.0,19779,15843710.36412973,24.691744042841098,0.21259609000117052,0.08817872800136684,5.619656286647787e-13,98257
33,1024,1024.png,315184.0,315184,3969892172.6183395,25.023589945638182,3.445664594997652,5.107442550000997,9.103428452241258e-12,1573380
33,512,512.png,78920.0,78920,250045381.8004325,24.90894394910687,0.8345018190011615,0.6084603679992142,2.2781300834472086e-12,393330
33,2048,2048.png,1259752.0,1259752,63273768290.90234,25.081090385005236,13.756912270000612,45.33511278500009,3.633585737121642e-11,6293686
33,128,128.png,4995.0,4995,1028379.192834048,24.261503124389105,0.05899741200119024,0.01479531500081066,1.4123334572558352e-13,24655
8,256,256.png,20012.0,20012,16024415.289314222,24.991872512631247,0.22844717700354522,0.07940595100080827,5.543707556727488e-13,99436
8,1024,1024.png,316040.0,316040,3932904345.2523494,25.396316012763656,3.408064708000893,4.332190601002367,8.708199862096708e-12,1577728
8,512,512.png,79356.0,79356,249313956.66201174,25.258813506927662,0.8344645840006706,0.5229940790013643,2.2166809384799355e-12,395540
8,2048,2048.png,1261392.0,1261392,62479489529.43704,25.466113594195626,13.533105083999544,36.39871860900166,3.5480130167385516e-11,6302024
8,128,128.png,4980.0,4980,1013491.5789365302,24.47025758815222,0.08311431999754859,0.013768873999651987,1.3827341684056774e-13,24588
43,256,256.png,19843.0,19843,15946021.222457906,24.692344473081576,0.2168639699993946,0.11123596399920643,5.586638009107912e-13,98575
43,1024,1024.png,315210.0,315210,3971025606.163873,25.020575023685655,3.4047268140020606,4.924177577999217,9.114059033181371e-12,1573514
43,512,512.png,78993.0,78993,250508009.8887717,24.90896020359022,0.8462336970005708,0.6078237440015073,2.273563168871296e-12,393693
43,2048,2048.png,1259847.0,1259847,63291669221.90486,25.077778527915246,13.733998294999765,44.24143392100086,3.695724958176589e-11,6294165
43,128,128.png,5006.0,5006,1032730.168007904,24.265811899675427,0.05549455000073067,0.014445299999351846,1.419639383282957e-13,24710
25,256,256.png,19793.0,19793,15864335.771355834,24.69456362032851,0.2157762310016551,0.08875340300073731,5.722643318662149e-13,98327
25,1024,1024.png,315161.0,315161,3968084421.767021,25.031336373828736,3.3977412739986903,4.923796164999658,9.059293867210281e-12,1573263
